	Ceftazidime	Pip.Tazo	Gentamicin	Imipenem	Amikacin	Amp.Sulbactam	Trimeth.Sulfa	Meropenem	Ciprofloxacin	Cefepime	Doripenem	Polymixin_B	Tigecycline	Tobramycin	Tetracycline
SAMN02567734 - SRR1068255	6	8	20	6	24	17	18	6	6	12	16	10	6	-1	-1
SAMN02567733 - SRR1068254	27	28	25	37	23	32	24	30	31	33	29	18	32	-1	-1
SAMN02567751 - SRR1068271	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02567758 - SRR1068279	11	13	7	9	15	17	6	8	6	15	8	16	18	-1	-1
SAMN02567744 - SRR1068261	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02567745 - SRR1068262	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02567746 - SRR1068263	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02567746 - SRR1068264	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02567747 - SRR1068265	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02567747 - SRR1068266	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02567748 - SRR1068267	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02567749 - SRR1068268	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02567749 - SRR1068269	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02567750 - SRR1068270	6	18	12	17	23	25	6	-1	6	17	-1	15	16	22	-1
SAMN02404492 - SRR1030413	6	6	10	7	6	7	6	6	6	6	6	15	15	-1	-1
SAMN02404540 - SRR1030480	6	7	9	9	21	12	6	7	6	9	6	15	14	-1	-1
SAMN02404478 - SRR1030398	6	6	19	7	8	8	6	6	6	9	7	15	14	-1	-1
SAMN02404544 - SRR1030485	16	15	22	30	23	19	21	21	29	16	23	14	20	-1	-1
SAMN02404546 - SRR1030488	6	6	10	9	6	12	6	7	6	7	6	15	11	-1	-1
SAMN02404545 - SRR1030486	6	6	8	7	10	11	6	6	6	10	6	15	6	-1	-1
SAMN02404545 - SRR1030487	6	6	8	7	10	11	6	6	6	10	6	15	6	-1	-1
SAMN02404543 - SRR1030484	6	7	20	7	10	9	6	6	6	12	7	15	15	-1	-1
SAMN02404542 - SRR1030482	25	26	24	33	23	29	24	28	29	26	27	16	26	-1	-1
SAMN02404541 - SRR1030481	6	6	9	8	6	10	6	6	6	10	6	15	12	-1	-1
SAMN02404537 - SRR1030476	6	6	18	7	23	6	6	6	6	7	6	14	16	-1	-1
SAMN02404537 - SRR1030477	6	6	18	7	23	6	6	6	6	7	6	14	16	-1	-1
SAMN02404535 - SRR1030473	14	6	10	7	23	10	6	6	6	10	6	15	17	-1	-1
SAMN02404534 - SRR1030472	19	11	8	6	22	17	6	6	6	14	6	15	13	-1	-1
SAMN02404536 - SRR1030474	21	23	23	28	24	25	23	25	26	24	23	15	23	-1	-1
SAMN02404533 - SRR1030471	19	18	23	25	22	24	17	20	6	21	21	15	17	-1	-1
SAMN02404532 - SRR1030469	21	23	22	30	21	28	21	24	28	23	27	15	23	-1	-1
SAMN02404532 - SRR1030470	21	23	22	30	21	28	21	24	28	23	27	15	23	-1	-1
SAMN02404531 - SRR1030468	6	6	9	6	23	9	6	6	6	8	6	13	14	-1	-1
SAMN02404495 - SRR1030420	19	25	14	26	18	28	14	22	21	13	22	14	17	-1	-1
SAMN02404495 - SRR1030421	19	25	14	26	18	28	14	22	21	13	22	14	17	-1	-1
SAMN02404494 - SRR1030419	6	6	22	7	12	7	6	6	6	8	6	9	17	-1	-1
SAMN02404493 - SRR1030418	19	20	22	28	23	25	14	16	23	22	21	19	18	-1	-1
SAMN02404489 - SRR1030410	6	10	13	12	23	15	6	9	6	10	9	14	14	-1	-1
SAMN02404485 - SRR1030405	6	6	6	6	19	13	6	6	6	7	6	14	11	-1	-1
SAMN02404484 - SRR1030404	20	24	10	28	22	26	6	18	6	18	20	13	13	-1	-1
SAMN02404486 - SRR1030406	14	6	9	9	23	6	6	6	6	11	7	15	13	-1	-1
SAMN02404491 - SRR1030412	6	7	12	7	23	13	6	6	6	7	6	14	12	-1	-1
SAMN02404490 - SRR1030411	13	6	6	7	24	12	6	6	6	12	6	15	17	-1	-1
SAMN02404483 - SRR1030403	13	7	7	9	9	15	17	6	6	12	6	15	17	-1	-1
SAMN02404482 - SRR1030402	6	6	7	9	19	15	6	6	6	6	6	15	15	-1	-1
SAMN02404481 - SRR1030401	6	6	9	7	6	6	17	6	6	6	7	16	16	-1	-1
SAMN02404480 - SRR1030400	22	6	21	27	19	6	14	19	18	20	20	19	25	-1	-1
SAMN02404479 - SRR1030399	6	11	11	11	26	16	6	6	6	16	6	15	16	-1	-1
SAMN02404477 - SRR1030397	6	6	23	7	10	7	6	6	6	7	6	14	17	-1	-1
SAMN02404525 - SRR1030458	6	6	6	6	12	6	6	6	6	11	6	15	16	-1	-1
SAMN02404523 - SRR1030455	6	8	14	8	21	10	6	6	6	10	7	15	15	-1	-1
SAMN02404523 - SRR1030456	6	8	14	8	21	10	6	6	6	10	7	15	15	-1	-1
SAMN02404524 - SRR1030457	18	13	8	6	20	18	6	6	6	15	6	13	15	-1	-1
SAMN02404526 - SRR1030459	6	7	18	6	15	10	6	6	6	12	6	16	18	-1	-1
SAMN02404530 - SRR1030466	6	6	6	6	10	18	6	6	6	10	6	15	16	-1	-1
SAMN02404529 - SRR1030465	6	6	6	6	13	20	6	6	6	12	6	14	17	-1	-1
SAMN02415068 - SRR1033726	6	8	21	8	27	14	6	6	6	11	7	12	19	-1	-1
SAMN02415046 - SRR1033703	6	6	9	7	22	9	6	6	6	10	6	116	17	-1	-1
SAMN02570429 - SRR1103761	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570428 - SRR1103760	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570425 - SRR1103757	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570317 - SRR1103718	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570310 - SRR1103711	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570314 - SRR1103715	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570312 - SRR1103713	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570313 - SRR1103714	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570319 - SRR1103720	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570319 - SRR1103721	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570333 - SRR1103737	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570316 - SRR1103717	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570343 - SRR1103749	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570343 - SRR1103750	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570344 - SRR1103751	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570423 - SRR1103754	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570423 - SRR1103755	6	6	6	7	26	20	6	6	6	6	6	16	19	-1	-1
SAMN02570326 - SRR1103728	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
SAMN02570327 - SRR1103729	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570328 - SRR1103731	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570328 - SRR1103730	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570329 - SRR1103732	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570331 - SRR1103734	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570331 - SRR1103735	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570332 - SRR1103736	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02570315 - SRR1103716	6	13	19	16	22	22	6	-1	6	13	-1	16	16	21	-1
SAMN02570311 - SRR1103712	6	16	6	16	21	24	6	-1	6	12	-1	16	14	20	-1
SAMN02570318 - SRR1103719	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
SAMN02570320 - SRR1103722	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
SAMN02570321 - SRR1103723	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
SAMN02570322 - SRR1103724	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
SAMN02570323 - SRR1103725	6	11	6	8	19	25	6	7	6	15	6	15	16	-1	-1
